"Advocate Name","Advocate Argument Number","Argument Date","Term","Case Number","Case Title","Citation","URL"
"Judith A. Gordon",1,"1975-03-26","1974-10","74-453,74-5054","Van Lare v. Hurley","421 U.S. 338 (1975)","https://argumentaloud.org/courts/ussc/?term=1974-10&case=74-453%2C74-5054&event=1"
"Judith A. Gordon",2,"1977-03-22","1976-10","76-208","Nyquist v. Mauclet","432 U.S. 1 (1977)","https://argumentaloud.org/courts/ussc/?term=1976-10&case=76-208&event=1"
"Judith A. Gordon",3,"1977-11-08","1977-10","76-839","Foley v. Connelie","435 U.S. 291 (1978)","https://argumentaloud.org/courts/ussc/?term=1977-10&case=76-839&event=1"
"Judith A. Gordon",4,"1979-01-10","1978-10","76-808","Ambach v. Norwick","441 U.S. 68 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=76-808&event=1"
"Judith A. Gordon",5,"1982-03-24","1981-10","80-1952","Blum v. Yaretsky","457 U.S. 991 (1982)","https://argumentaloud.org/courts/ussc/?term=1981-10&case=80-1952&event=1"
"Judith A. Gordon",6,"1984-01-17","1983-10","82-1248,82-1278","Schall v. Martin","467 U.S. 253 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-1248%2C82-1278&event=1"
"Judith E. Harris",1,"1980-10-07","1980-10","79-939","Delaware State College v. Ricks","449 U.S. 250 (1980)","https://argumentaloud.org/courts/ussc/?term=1980-10&case=79-939&event=1"
"Judith H. Mizner",1,"1981-01-19","1980-10","79-1709","Albernaz v. United States","450 U.S. 333 (1981)","https://argumentaloud.org/courts/ussc/?term=1980-10&case=79-1709&event=1"
"Judith H. Mizner",2,"2010-11-29","2010-10","09-868","Wall v. Kholi","562 U.S. 545 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=09-868&event=2"
"Judith H. Mizner",3,"2014-04-29","2013-10","13-132,13-212","Riley v. California","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=13-132%2C13-212&event=1"
"Judith L. French",1,"2000-11-07","2000-10","99-1257,99-1426","Whitman v. American Trucking Associations, Inc.","531 U.S. 457 (2001)","https://argumentaloud.org/courts/ussc/?term=2000-10&case=99-1257%2C99-1426&event=1"
"Judith L. French",2,"2002-02-20","2001-10","00-1751,00-1777,00-1779","Zelman v. Simmons-Harris","536 U.S. 639 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=00-1751%2C00-1777%2C00-1779&event=1"
"Judith N. Vale",1,"2023-03-01","2022-10","156-Orig","New York v. New Jersey","","https://argumentaloud.org/courts/ussc/?term=2022-10&case=156-Orig&event=2"
"Judith N. Vale",2,"2024-02-21","2023-10","23A349","Ohio v. EPA","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=23A349&event=2"
"Judith P. Vladeck",1,"1980-03-25","1979-10","79-616","Mohasco Corporation v. Silver","447 U.S. 807 (1980)","https://argumentaloud.org/courts/ussc/?term=1979-10&case=79-616&event=1"
"Judith Reed",1,"1990-01-08","1989-10","88-334","Lytle v. Household Manufacturing, Inc.","494 U.S. 545 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=88-334&event=1"
"Judith Resnik",1,"1987-03-30","1986-10","86-421","Board of Directors, Rotary International v. Rotary Club of Duarte","481 U.S. 537 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=86-421&event=1"
"Judith Resnik",2,"2009-10-05","2009-10","08-678","Mohawk Industries, Inc. v. Carpenter","558 U.S. 100 (2009)","https://argumentaloud.org/courts/ussc/?term=2009-10&case=08-678&event=1"
"Judy Clare Clarke",1,"1985-10-09","1985-10","84-1023","United States v. Rojas-Contreras","474 U.S. 231 (1985)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1023&event=1"
"Judy Clare Clarke",2,"1990-02-20","1989-10","88-1932","United States v. Munoz-Flores","495 U.S. 385 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=88-1932&event=1"
"Judy Rabinovitz",1,"2003-01-15","2002-10","01-1491","Demore v. Kim","538 U.S. 510 (2003)","https://argumentaloud.org/courts/ussc/?term=2002-10&case=01-1491&event=1"
"Julia DiCocco Dewey",1,"1986-12-09","1986-10","85-899","Connecticut v. Barrett","479 U.S. 523 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-899&event=1"
"Julia Doyle Bernhardt",1,"2016-03-29","2015-10","15-339","Ross v. Blake","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=15-339&event=2"
"Julia P. Clark",1,"2007-04-24","2006-10","05-1448","Beck v. PACE International Union","551 U.S. 96 (2007)","https://argumentaloud.org/courts/ussc/?term=2006-10&case=05-1448&event=1"
"Julia P. Clark",2,"2014-11-10","2014-10","13-1010","M&G Polymers USA, LLC v. Tackett","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-1010&event=2"
"Julia P. Cooper",1,"1961-12-05","1961-10","68","Hill v. United States","368 U.S. 424 (1962)","https://argumentaloud.org/courts/ussc/?term=1961-10&case=68&event=1"
"Julia P. Cooper",2,"1961-12-05","1961-10","69","Machibroda v. United States","368 U.S. 487 (1962)","https://argumentaloud.org/courts/ussc/?term=1961-10&case=69&event=1"
"Juliana Drous",1,"1990-02-21","1989-10","88-7164","Horton v. California","496 U.S. 128 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=88-7164&event=1"
"Juliana Drous",2,"1991-03-19","1990-10","90-68","Ylst v. Nunnemaker","501 U.S. 797 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=90-68&event=1"
"Julie A. Murray",1,"2017-04-25","2016-10","16-405","BNSF R. Co. v. Tyrrell","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=16-405&event=2"
"Julie C. Parsley",1,"2002-02-25","2001-10","01-298","Lapides v. Board of Regents of University System of Georgia","535 U.S. 613 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=01-298&event=1"
"Julie Goldscheid",1,"2000-01-11","1999-10","99-5,99-29","United States v. Morrison","529 U.S. 598 (2000)","https://argumentaloud.org/courts/ussc/?term=1999-10&case=99-5%2C99-29&event=1"
"JULIE R. O'SULLIVAN",1,"1995-10-11","1995-10","94-6615","Thompson v. Keohane","516 U.S. 99 (1995)","https://argumentaloud.org/courts/ussc/?term=1995-10&case=94-6615&event=1"
"Julie Rikelman",1,"2020-03-04","2019-10","18-1323","June Medical Services L.L.C. v. Russo","","https://argumentaloud.org/courts/ussc/?term=2019-10&case=18-1323&event=2"
"Julie Rikelman",2,"2021-12-01","2021-10","19-1392","Dobbs v. Jackson Women's Health","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=19-1392&event=2"
"Julie S. Levin",1,"1986-12-09","1986-10","85-129","Wimberly v. Labor and Industrial Relations Commission of Missouri","479 U.S. 511 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-129&event=1"
"Julie Mereson",1,"1994-03-30","1993-10","93-517,93-527,93-539","Board of Education of Kiryas Joel Village School District v. Grumet","512 U.S. 687 (1994)","https://argumentaloud.org/courts/ussc/?term=1993-10&case=93-517%2C93-527%2C93-539&event=1"
"Juliet L. Clark",1,"2008-04-16","2007-10","07-343","Kennedy v. Louisiana","554 U.S. 407 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=07-343&event=1"
"Kaletah N. Carroll",1,"1984-04-25","1983-10","83-916","United States v. Morton","467 U.S. 822 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=83-916&event=1"
"Karen K. Mitchell",1,"2003-12-09","2003-10","02-1371","Missouri v. Seibert","542 U.S. 600 (2004)","https://argumentaloud.org/courts/ussc/?term=2003-10&case=02-1371&event=1"
"Karen LeCraft Henderson",1,"1983-10-31","1983-10","82-282","McCain v. Lybrand","465 U.S. 236 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-282&event=1"
"Karen R. King",1,"2022-03-22","2021-10","20-1034","Golan v. Saada","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=20-1034&event=2"
"Karin S. Schwartz",1,"2011-10-03","2011-10","09-958,09-1158,10-283","Douglas v. Independent Living Center of Southern Cal., Inc.","","https://argumentaloud.org/courts/ussc/?term=2011-10&case=09-958%2C09-1158%2C10-283&event=2"
"Karla A. Gilbride",1,"2022-03-21","2021-10","21-328","Morgan v. Sundance, Inc.","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=21-328&event=2"
"KASDIN M. MITCHELL",1,"2025-10-14","2025-10","24-5438","Bowe v. United States","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=24-5438&event=2"
"Katherian D. Roe",1,"1991-12-10","1991-10","90-1577","United States v. R. L. C.","503 U.S. 291 (1992)","https://argumentaloud.org/courts/ussc/?term=1991-10&case=90-1577&event=1"
"Katherine B. Wellington",1,"2024-10-07","2024-10","23-677","Royal Canin U.S.A., Inc. v. Wullschleger","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=23-677&event=2"
"Katherine Burnett",1,"2008-11-12","2008-10","07-1223","Bell v. Kelly","555 U.S. 55 (2008)","https://argumentaloud.org/courts/ussc/?term=2008-10&case=07-1223&event=1"
"Katherine M. Menendez",1,"2014-11-05","2014-10","13-7120","Johnson v. United States","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-7120&event=2"
"Katherine M. Menendez",2,"2015-04-20","2014-10","13-7120","Johnson v. United States","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-7120&event=4"
"Katherine Meiss",1,"1995-01-18","1994-10","93-1883","Anderson v. Edwards","514 U.S. 143 (1995)","https://argumentaloud.org/courts/ussc/?term=1994-10&case=93-1883&event=1"
"Katherine P. Baldwin",1,"1997-03-18","1996-10","96-6867","O'Dell v. Netherland","521 U.S. 151 (1997)","https://argumentaloud.org/courts/ussc/?term=1996-10&case=96-6867&event=1"
"Katherine P. Baldwin",2,"1997-11-03","1997-10","96-8400","Buchanan v. Angelone","522 U.S. 269 (1998)","https://argumentaloud.org/courts/ussc/?term=1997-10&case=96-8400&event=1"
"Katherine P. Baldwin",3,"1999-03-29","1998-10","98-5881","Lilly v. Virginia","527 U.S. 116 (1999)","https://argumentaloud.org/courts/ussc/?term=1998-10&case=98-5881&event=1"
"Katherine P. Baldwin",4,"2000-04-18","1999-10","99-7000","Ramdass v. Angelone","530 U.S. 156 (2000)","https://argumentaloud.org/courts/ussc/?term=1999-10&case=99-7000&event=1"
"Katherine Winfree",1,"2013-02-26","2012-10","12-207","Maryland v. King","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=12-207&event=2"
"Kathi Alyce Drew",1,"1989-03-21","1988-10","88-155","Texas v. Johnson","491 U.S. 397 (1989)","https://argumentaloud.org/courts/ussc/?term=1988-10&case=88-155&event=1"
"Kathleen A. Lord",1,"2012-02-27","2011-10","10-9995","Wood v. Milyard","","https://argumentaloud.org/courts/ussc/?term=2011-10&case=10-9995&event=2"
"Kathleen D. Mix",1,"1996-11-13","1996-10","95-1352","Edwards v. Balisok","520 U.S. 641 (1997)","https://argumentaloud.org/courts/ussc/?term=1996-10&case=95-1352&event=1"
"Kathleen E. Petersen",1,"1997-11-10","1997-10","96-7901","Trest v. Cain","522 U.S. 87 (1997)","https://argumentaloud.org/courts/ussc/?term=1997-10&case=96-7901&event=1"
"Kathleen Kelly Walsh",1,"1987-03-31","1986-10","85-2121","Arizona v. Mauro","481 U.S. 520 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-2121&event=1"
"Kathleen L. Caldwell",1,"2001-04-23","2000-10","00-763","Pollard v. E. I. du Pont de Nemours & Company","532 U.S. 843 (2001)","https://argumentaloud.org/courts/ussc/?term=2000-10&case=00-763&event=1"
"Kathleen M. Cummins",1,"1978-10-04","1978-10","77-1202","Michigan v. Doran","439 U.S. 282 (1978)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=77-1202&event=1"
"Kathleen M. Sullivan",1,"1991-04-23","1990-10","90-762","Freytag v. Commissioner","501 U.S. 868 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=90-762&event=1"
"Kathleen M. Sullivan",2,"1995-01-17","1994-10","94-197","Anderson v. Green","513 U.S. 557 (1995)","https://argumentaloud.org/courts/ussc/?term=1994-10&case=94-197&event=1"
"Kathleen Sullivan",3,"2004-12-07","2004-10","03-1116,03-1120,03-1274","Granholm v. Heald","544 U.S. 460 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=03-1116%2C03-1120%2C03-1274&event=1"
"Kathleen M. Sullivan",4,"2005-11-29","2005-10","04-1329","Illinois Tool Works Inc. v. Independent Ink, Inc.","547 U.S. 28 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-1329&event=1"
"Kathleen M. Sullivan",5,"2009-02-24","2008-10","07-1601,07-1607","Burlington N. & Santa Fe Ry. Co. v. United States","556 U.S. 599 (2009)","https://argumentaloud.org/courts/ussc/?term=2008-10&case=07-1601%2C07-1607&event=1"
"Kathleen M. Sullivan",6,"2010-10-12","2010-10","09-152","Bruesewitz v. Wyeth, Inc.","562 U.S. 223 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=09-152&event=2"
"Kathleen M. Sullivan",7,"2012-02-28","2012-10","10-1491","Kiobel v. Royal Dutch Shell Co.","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=10-1491&event=2"
"Kathleen M. Sullivan",8,"2012-10-01","2012-10","10-1491","Kiobel v. Royal Dutch Shell Co.","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=10-1491&event=4"
"Kathleen M. Sullivan",9,"2014-04-21","2013-10","12-761","POM Wonderful LLC v. Coca-Cola Co.","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=12-761&event=2"
"Kathleen M. Sullivan",10,"2016-10-11","2016-10","15-777","Samsung Electronics Co., v. Apple Inc.","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-777&event=2"
"Kathleen M. Sullivan",11,"2016-11-01","2016-10","15-513","State Farm Fire & Casualty Co. v. United States, ex rel. Rigsby","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-513&event=2"
"Kathleen Managhan",1,"1984-11-27","1984-10","83-963","Board of License Comm'rs of Tiverton v. Pastore","469 U.S. 238 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=83-963&event=1"
"Kathleen McManus",1,"1986-03-26","1985-10","85-488","Ohio Civil Rights Commission v. Dayton Christian Public Schools, Inc.","477 U.S. 619 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=85-488&event=1"
"KATHLEEN R. HARTNETT",1,"2026-01-13","2025-10","24-38","Little v. Hecox","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=24-38&event=2"
"Kathleen Sullivan",1,"2004-12-07","2004-10","03-1116,03-1120,03-1274","Granholm v. Heald","544 U.S. 460 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=03-1116%2C03-1120%2C03-1274&event=1"
"Kathryn Oberly",1,"1979-10-01","1979-10","78-738","Kaiser Aetna v. United States","444 U.S. 164 (1979)","https://argumentaloud.org/courts/ussc/?term=1979-10&case=78-738&event=1"
"Kathryn A. Oberly",2,"1983-04-25","1982-10","82-242","Ruckelshause v. Sierra Club","463 U.S. 680 (1983)","https://argumentaloud.org/courts/ussc/?term=1982-10&case=82-242&event=1"
"Kathryn A. Oberly",3,"1983-11-07","1983-10","82-618","Kosak v. United States","465 U.S. 848 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-618&event=1"
"Kathryn A. Oberly",4,"1984-01-18","1983-10","82-1651","Nix v. Williams","467 U.S. 431 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-1651&event=1"
"Kathryn A. Oberly",5,"1984-02-29","1983-10","82-1608","South-Central Timber Development, Inc. v. Wunnicke","467 U.S. 82 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-1608&event=1"
"Kathryn A. Oberly",6,"1984-04-24","1983-10","83-458","Block v. Community Nutrition Institute","467 U.S. 340 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=83-458&event=1"
"Kathryn A. Oberly",7,"1984-10-10","1984-10","83-1020","Ohio v. Kovacs","469 U.S. 274 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=83-1020&event=1"
"Kathryn A. Oberly",8,"1984-11-05","1984-10","83-1330","United States v. Hensley","469 U.S. 221 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=83-1330&event=1"
"Kathryn A. Oberly",9,"1986-01-14","1985-10","84-1097","Goldman v. Weinberger","475 U.S. 503 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1097&event=1"
"Kathryn A. Oberly",10,"1986-03-03","1986-10","85-5","Pennsylvania v. Delaware Valley Citizens' Council for Clean Air","483 U.S. 711 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-5&event=1"
"Kathryn A. Oberly",11,"1988-10-31","1988-10","87-1167","Price Waterhouse v. Hopkins","490 U.S. 228 (1989)","https://argumentaloud.org/courts/ussc/?term=1988-10&case=87-1167&event=1"
"Kathryn A. Oberly",12,"1992-10-13","1992-10","91-886","Reves v. Ernst & Young","507 U.S. 170 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=91-886&event=1"
"Kathryn A. Oberly",1,"1985-03-27","1984-10","83-2136","Connecticut Department of Income Maintenance v. Heckler","471 U.S. 524 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=83-2136&event=1"
"Kathryn A. Oberly",2,"1985-10-16","1985-10","84-701","United States v. Riverside Bayview Homes, Inc.","474 U.S. 121 (1985)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-701&event=1"
"Kathryn Grill Graeff",1,"2005-11-01","2005-10","04-373","Maryland v. Blake","546 U.S. 72 (2005)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-373&event=1"
"Kathryn Keena",1,"2016-04-20","2015-10","14-1468,14-1470,14-1507","Birchfield v. North Dakota","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-1468%2C14-1470%2C14-1507&event=2"
"Kathryn Kolbert",1,"1985-11-05","1985-10","84-495","Thornburgh v. American College of Obstetricians and Gynecologists","476 U.S. 747 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-495&event=1"
"Kathryn Kolbert",2,"1992-04-22","1991-10","91-744,91-902","Planned Parenthood of Southeastern Pennsylvania v. Casey","505 U.S. 833 (1992)","https://argumentaloud.org/courts/ussc/?term=1991-10&case=91-744%2C91-902&event=1"
"Kathryn L. Pryor",1,"2002-01-16","2001-10","00-1937","Barnhart v. Walton","535 U.S. 212 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=00-1937&event=1"
"Kathryn L. Tucker",1,"1997-01-08","1996-10","96-110","Washington v. Glucksberg","521 U.S. 702 (1997)","https://argumentaloud.org/courts/ussc/?term=1996-10&case=96-110&event=1"
"Kathryn Marie Krause",1,"1985-02-20","1984-10","84-262","Mountain States Telephone & Telegraph Co. v. Pueblo of Santa Ana","472 U.S. 237 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=84-262&event=1"
"Kathryn W. Landry",1,"2009-01-13","2008-10","07-1529","Montejo v. Louisiana","556 U.S. 778 (2009)","https://argumentaloud.org/courts/ussc/?term=2008-10&case=07-1529&event=1"
"Kathy D. Sones",1,"1987-11-09","1987-10","86-870","Phillips Petroleum Company v. Mississippi","484 U.S. 469 (1988)","https://argumentaloud.org/courts/ussc/?term=1987-10&case=86-870&event=1"
"Kathy Goudy",1,"1987-03-03","1986-10","85-2067","United States v. Mendoza-Lopez","481 U.S. 828 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-2067&event=1"
"Kay H. Hodge",1,"2008-12-02","2008-10","07-1125","Fitzgerald v. Barnstable School Committee","555 U.S. 246 (2009)","https://argumentaloud.org/courts/ussc/?term=2008-10&case=07-1125&event=1"
"Kelly A. Ayotte",1,"2005-11-30","2005-10","04-1144","Ayotte v. Planned Parenthood of Northern New England","546 U.S. 320 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-1144&event=1"
"Kelly Miller",1,"1993-03-22","1992-10","92-351","Heller  v. Doe","509 U.S. 312 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=92-351&event=1"
